gameId,teamId,teamCity,teamName,gameType,availableFlag,efgPct,ftaRate,gameDate,gameDateTimeEst,home,matchup,min,oppEfgPct,oppFtaRate,oppOrebPct,oppTovPct,opponentTeamCity,opponentTeamId,opponentTeamName,orebPct,teamAbbreviation,teamName_right,tmTovPct,win,wl
22500743,1610612749,Milwaukee,Bucks,Regular Season,1,0.532,0.063,2026-02-06T00:00:00,2026-02-06 20:00:00,1,MIL vs. IND,48.0,0.519,0.266,0.152,0.097,Indiana,1610612754,Pacers,0.346,MIL,,0.13,1,W
22500746,1610612758,Sacramento,Kings,Regular Season,1,0.5,0.239,2026-02-06T00:00:00,2026-02-06 22:00:00,1,SAC vs. LAC,48.0,0.585,0.507,0.225,0.162,LA,1610612746,Clippers,0.321,SAC,,0.113,0,L
22500742,1610612752,New York,Knicks,Regular Season,1,0.402,0.207,2026-02-06T00:00:00,2026-02-06 19:30:00,0,NYK @ DET,48.0,0.633,0.181,0.225,0.14,Detroit,1610612765,Pistons,0.264,NYK,,0.158,0,L
22500742,1610612765,Detroit,Pistons,Regular Season,1,0.633,0.181,2026-02-06T00:00:00,2026-02-06 19:30:00,1,DET vs. NYK,48.0,0.402,0.207,0.264,0.158,New York,1610612752,Knicks,0.225,DET,,0.14,1,W
22500741,1610612738,Boston,Celtics,Regular Season,1,0.476,0.274,2026-02-06T00:00:00,2026-02-06 19:30:00,1,BOS vs. MIA,48.0,0.494,0.214,0.264,0.129,Miami,1610612748,Heat,0.346,BOS,,0.174,1,W
22500745,1610612757,Portland,Trail Blazers,Regular Season,1,0.639,0.233,2026-02-06T00:00:00,2026-02-06 22:00:00,1,POR vs. MEM,48.0,0.563,0.239,0.265,0.154,Memphis,1610612763,Grizzlies,0.31,POR,,0.173,1,W
22500744,1610612750,Minnesota,Timberwolves,Regular Season,1,0.489,0.274,2026-02-06T00:00:00,2026-02-06 20:00:00,1,MIN vs. NOP,48.0,0.631,0.275,0.282,0.165,New Orleans,1610612740,Pelicans,0.39,MIN,,0.103,0,L
22500745,1610612763,Memphis,Grizzlies,Regular Season,1,0.563,0.239,2026-02-06T00:00:00,2026-02-06 22:00:00,0,MEM @ POR,48.0,0.639,0.233,0.31,0.173,Portland,1610612757,Trail Blazers,0.265,MEM,,0.154,0,L
22500746,1610612746,LA,Clippers,Regular Season,1,0.585,0.507,2026-02-06T00:00:00,2026-02-06 22:00:00,0,LAC @ SAC,48.0,0.5,0.239,0.321,0.113,Sacramento,1610612758,Kings,0.225,LAC,,0.162,1,W
22500741,1610612748,Miami,Heat,Regular Season,1,0.494,0.214,2026-02-06T00:00:00,2026-02-06 19:30:00,0,MIA @ BOS,48.0,0.476,0.274,0.346,0.174,Boston,1610612738,Celtics,0.264,MIA,,0.129,0,L
